Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2015","2015","ha","7900630","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2015","2015","kg/ha","7265.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2015","2015","t","57405060","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2016","2016","ha","6668996","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2016","2016","kg/ha","9076.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2016","2016","t","60529864","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2017","2017","ha","6761350","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2017","2017","kg/ha","9073.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2017","2017","t","61350199","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2018","2018","ha","6949400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2018","2018","kg/ha","9403.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2018","2018","t","65350850","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2019","2019","ha","9776650","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2019","2019","kg/ha","5827.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2019","2019","t","56969160","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2020","2020","ha","9614230","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2020","2020","kg/ha","5779.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2020","2020","t","55565610","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2021","2021","ha","9979330","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2021","2021","kg/ha","5835.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2021","2021","t","58237500","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5312","Area harvested","01520.01","Cassava, fresh","2022","2022","ha","10043720","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01520.01","Cassava, fresh","2022","2022","kg/ha","6109.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01520.01","Cassava, fresh","2022","2022","t","61359000.56","I","Value imputed by a receiving agency",""
